ticker,mktshare,ipo_date
000001.SZ,"14,30,86,76,139.00",04-03-1991
000002.SZ,"11,04,96,10,300.00",1/29/1991
000004.SZ,"8,39,76,684.00",1/14/1991
000005.SZ,"91,43,33,607.00",12-10-1990
000006.SZ,"1,34,99,95,046.00",4/27/1992
000007.SZ,"23,09,65,363.00",4/13/1992
000008.SZ,"2,40,94,32,927.00",05-07-1992
000009.SZ,"1,59,21,07,386.00",6/25/1991
000010.SZ,"58,80,69,788.00",10/27/1995
000011.SZ,"59,59,79,092.00",3/30/1992
000012.SZ,"2,07,53,35,560.00",2/28/1992
000014.SZ,"20,17,05,187.00",06-02-1992
000016.SZ,"2,40,79,45,408.00",3/27/1992
000017.SZ,"55,13,47,947.00",3/31/1992
000018.SZ,"16,91,42,356.00",6/16/1992
000019.SZ,"30,10,80,184.00",10-12-1992
000020.SZ,"28,31,61,227.00",4/28/1992
000021.SZ,"1,47,12,59,363.00",02-02-1994
000022.SZ,"64,47,63,730.00",05-05-1993
000023.SZ,"13,87,56,240.00",4/29/1993
000024.SZ,"2,57,59,50,754.00",06-07-1993
000025.SZ,"29,72,81,600.00",6/21/1993
000026.SZ,"39,27,67,870.00",06-03-1993
000027.SZ,"3,96,44,91,597.00",09-03-1993
000028.SZ,"36,26,31,943.00",08-09-1993
000029.SZ,"1,01,16,60,000.00",9/15/1993
000030.SZ,"1,29,32,51,508.00",9/29/1993
000031.SZ,"1,81,37,31,596.00",10-08-1993
000032.SZ,"23,28,64,320.00",10/28/1993
000033.SZ,"32,94,02,050.00",01-03-1994
000034.SZ,"35,79,73,531.00",05-09-1994
000035.SZ,"61,92,78,871.00",04-08-1994
000036.SZ,"1,14,04,87,712.00",6/17/1994
000037.SZ,"60,27,62,596.00",07-01-1994
000038.SZ,"9,62,27,998.00",08-08-1994
000039.SZ,"2,68,93,91,666.00",04-08-1994
000040.SZ,"46,95,93,364.00",08-08-1994
000042.SZ,"48,82,34,980.00",9/21/1994
000043.SZ,"66,69,61,416.00",9/28/1994
000045.SZ,"50,65,21,849.00",8/15/1994
000046.SZ,"4,55,73,11,768.00",09-12-1994
000048.SZ,"39,07,68,671.00",11-01-1994
000049.SZ,"20,52,43,738.00",3/20/1995
000050.SZ,"1,13,17,38,475.00",3/15/1995
000055.SZ,"75,69,09,905.00",4/15/1996
000056.SZ,"57,38,92,434.00",07-08-1996
000058.SZ,"78,47,99,010.00",12/26/1996
000059.SZ,"1,59,94,42,537.00",1/30/1997
000060.SZ,"2,21,26,27,938.00",1/23/1997
000061.SZ,"1,69,69,64,131.00",01-10-1997
000062.SZ,"66,69,49,797.00",1/30/1997
000063.SZ,"4,12,50,49,533.00",11/18/1997
000065.SZ,"27,43,71,762.00",06-05-1998
000066.SZ,"1,32,35,93,886.00",6/26/1997
000068.SZ,"1,00,66,71,464.00",06-11-1997
000069.SZ,"7,27,13,42,722.00",09-10-1997
000070.SZ,"27,10,00,000.00",05-11-2000
000078.SZ,"75,25,13,855.00",12/18/1998
000088.SZ,"1,94,22,00,000.00",7/28/1997
000089.SZ,"2,05,07,69,509.00",4/20/1998
000090.SZ,"55,25,30,794.00",7/21/1999
000096.SZ,"52,80,00,000.00",7/24/2000
000099.SZ,"60,60,70,420.00",7/31/2000
000100.SZ,"12,22,45,49,262.00",1/30/2004
000150.SZ,"44,78,04,877.00",08-07-2000
000151.SZ,"29,59,80,000.00",09-06-2000
000153.SZ,"31,21,41,230.00",9/20/2000
000155.SZ,"47,00,00,000.00",9/26/2000
000156.SZ,"1,43,33,51,902.00",09-06-2000
000157.SZ,"7,70,59,54,050.00",10-12-2000
000158.SZ,"1,27,14,42,278.00",7/24/2000
000159.SZ,"48,11,39,294.00",9/26/2000
000166.SZ,"14,85,67,44,977.00",1/26/2015
000301.SZ,"1,21,82,36,445.00",5/29/2000
000333.SZ,"4,26,57,14,504.00",9/18/2013
000338.SZ,"3,99,86,19,278.00",4/30/2007
000400.SZ,"1,00,83,27,309.00",4/18/1997
000401.SZ,"1,34,75,22,914.00",6/14/1996
000402.SZ,"2,98,89,29,907.00",6/26/1996
000403.SZ,"27,25,77,599.00",6/28/1996
000404.SZ,"55,96,23,953.00",6/19/1996
000407.SZ,"77,40,48,768.00",07-03-1996
000408.SZ,"25,23,01,500.00",6/28/1996
000409.SZ,"47,27,09,345.00",6/27/1996
000410.SZ,"76,54,70,884.00",7/18/1996
000411.SZ,"20,74,49,946.00",7/16/1996
000413.SZ,"2,66,20,80,001.00",9/25/1996
000415.SZ,"3,54,86,06,952.00",7/16/1996
000416.SZ,"53,18,71,494.00",7/19/1996
000417.SZ,"77,98,84,200.00",08-12-1996
000418.SZ,"63,24,87,764.00",3/28/1997
000419.SZ,"54,35,82,655.00",8/16/1996
000420.SZ,"71,66,03,328.00",08-02-1996
000421.SZ,"57,26,46,934.00",08-06-1996
000422.SZ,"89,78,66,712.00",8/15/1996
000423.SZ,"65,40,21,537.00",7/29/1996
000425.SZ,"7,08,42,87,702.00",8/28/1996
000426.SZ,"1,19,38,89,056.00",8/28/1996
000428.SZ,"71,89,26,000.00",08-08-1996
000429.SZ,"1,25,71,17,748.00",2/20/1998
000430.SZ,"32,08,35,149.00",8/29/1996
000488.SZ,"1,93,64,05,467.00",11/20/2000
000498.SZ,"1,12,01,39,063.00",06-09-1997
000501.SZ,"52,90,25,590.00",11/20/1992
000502.SZ,"18,48,19,607.00",11/23/1992
000503.SZ,"89,88,22,204.00",11/30/1992
000504.SZ,"31,15,73,901.00",12-08-1992
000505.SZ,"42,67,45,404.00",12/21/1992
000506.SZ,"92,90,17,761.00",03-12-1993
000507.SZ,"78,95,40,919.00",3/26/1993
000509.SZ,"82,54,83,117.00",05-07-1993
000510.SZ,"60,91,82,254.00",05-07-1993
000511.SZ,"1,15,48,32,011.00",5/18/1993
000513.SZ,"39,56,96,927.00",10/28/1993
000514.SZ,"84,37,70,965.00",07-12-1993
000516.SZ,"78,84,19,721.00",08-09-1993
000517.SZ,"3,18,39,22,485.00",08-06-1993
000518.SZ,"1,02,95,56,222.00",09-08-1993
000519.SZ,"1,03,32,24,158.00",10-08-1993
000520.SZ,"1,01,20,83,455.00",10/25/1993
000521.SZ,"76,37,39,205.00",10/18/1993
000523.SZ,"44,51,63,588.00",11-08-1993
000524.SZ,"26,96,73,744.00",11/18/1993
000525.SZ,"50,72,46,849.00",10/28/1993
000526.SZ,"9,61,95,107.00",11-01-1993
000528.SZ,"1,12,52,42,136.00",11/18/1993
000529.SZ,"58,37,90,330.00",11/18/1993
000530.SZ,"36,01,64,975.00",12-08-1993
000531.SZ,"68,50,82,820.00",01-06-1994
000532.SZ,"34,47,08,340.00",01-03-1994
000533.SZ,"69,08,16,000.00",01-03-1994
000534.SZ,"49,17,85,096.00",01-10-1994
000536.SZ,"77,91,02,886.00",11/26/1993
000537.SZ,"51,27,17,581.00",12-10-1993
000538.SZ,"1,04,13,99,718.00",12/15/1993
000539.SZ,"5,25,02,83,986.00",11/26/1993
000540.SZ,"4,30,56,93,702.00",02-02-1994
000541.SZ,"1,27,21,32,868.00",11/23/1993
000543.SZ,"1,05,31,74,105.00",12/20/1993
000544.SZ,"26,94,59,799.00",12-08-1993
000545.SZ,"98,68,33,096.00",12/15/1993
000546.SZ,"59,84,39,493.00",12/15/1993
000547.SZ,"1,42,96,28,897.00",11/30/1993
000548.SZ,"49,92,15,811.00",12/20/1993
000550.SZ,"86,32,14,000.00",12-01-1993
000551.SZ,"40,00,80,405.00",01-06-1994
000552.SZ,"1,14,34,85,525.00",01-06-1994
000553.SZ,"59,39,23,220.00",12-03-1993
000554.SZ,"48,07,93,320.00",12/15/1993
000555.SZ,"91,78,11,916.00",04-08-1994
000557.SZ,"68,61,33,996.00",6/17/1994
000558.SZ,"85,94,82,633.00",05-09-1994
000559.SZ,"2,29,42,99,545.00",01-10-1994
000560.SZ,"1,17,02,35,934.00",02-02-1994
000561.SZ,"59,58,44,701.00",05-09-1994
000563.SZ,"1,21,46,67,354.00",01-10-1994
000564.SZ,"75,29,26,271.00",01-10-1994
000565.SZ,"43,35,92,220.00",04-08-1994
000566.SZ,"54,53,40,432.00",5/25/1994
000567.SZ,"15,12,00,000.00",5/25/1994
000568.SZ,"1,40,22,52,476.00",05-09-1994
000570.SZ,"56,13,74,326.00",07-01-1994
000571.SZ,"81,40,64,000.00",5/25/1994
000572.SZ,"1,64,46,36,426.00",08-08-1994
000573.SZ,"62,27,55,604.00",8/15/1994
000576.SZ,"44,28,61,324.00",09-07-1994
000581.SZ,"1,00,89,50,570.00",9/24/1998
000582.SZ,"95,40,45,720.00",11-02-1995
000584.SZ,"61,33,24,339.00",11/28/1995
000585.SZ,"87,33,70,000.00",12/13/1995
000586.SZ,"19,34,40,000.00",12/20/1995
000587.SZ,"55,71,34,734.00",4/25/1996
000589.SZ,"77,54,64,304.00",03-08-1996
000590.SZ,"22,33,31,267.00",1/19/1996
000591.SZ,"27,46,30,983.00",02-08-1996
000592.SZ,"84,74,07,034.00",3/27/1996
000593.SZ,"27,99,40,202.00",03-12-1996
000595.SZ,"37,24,40,125.00",4/19/1996
000596.SZ,"50,36,00,000.00",9/27/1996
000597.SZ,"47,46,55,068.00",5/23/1996
000598.SZ,"2,98,62,18,602.00",5/29/1996
000599.SZ,"67,45,78,893.00",4/30/1996
000600.SZ,"1,79,16,26,376.00",06-06-1996
000601.SZ,"1,08,05,51,669.00",8/30/1996
000603.SZ,"50,49,88,667.00",8/23/1996
000605.SZ,"19,49,91,066.00",9/13/1996
000606.SZ,"47,21,13,600.00",10-04-1996
000607.SZ,"1,01,76,98,410.00",8/30/1996
000608.SZ,"74,99,13,309.00",9/19/1996
000609.SZ,"29,80,95,522.00",10-10-1996
000610.SZ,"23,67,47,901.00",9/26/1996
000611.SZ,"32,18,22,022.00",10-08-1996
000612.SZ,"1,20,28,44,594.00",9/26/1996
000613.SZ,"36,41,00,000.00",1/28/1997
000615.SZ,"21,16,77,316.00",10/16/1996
000616.SZ,"1,43,02,34,425.00",11-08-1996
000617.SZ,"28,75,39,200.00",10/22/1996
000619.SZ,"36,00,00,000.00",10/23/1996
000620.SZ,"1,89,66,90,420.00",10/29/1996
000622.SZ,"42,52,26,000.00",11-07-1996
000623.SZ,"89,44,38,433.00",10/28/1996
000625.SZ,"4,66,28,86,108.00",06-10-1997
000626.SZ,"20,25,00,000.00",11/28/1996
000627.SZ,"1,35,35,89,866.00",11-12-1996
000628.SZ,"31,14,80,000.00",11/18/1996
000629.SZ,"8,58,97,46,202.00",11/15/1996
000630.SZ,"9,56,06,43,685.00",11/20/1996
000631.SZ,"1,46,37,13,654.00",11/22/1996
000632.SZ,"46,55,19,570.00",11/21/1996
000633.SZ,"38,51,06,373.00",11-12-1996
000635.SZ,"30,30,87,602.00",11/20/1996
000636.SZ,"80,73,29,948.00",11/29/1996
000637.SZ,"51,98,75,356.00",11/14/1996
000638.SZ,"30,94,00,000.00",11/26/1996
000639.SZ,"37,66,45,668.00",11/26/1996
000650.SZ,"1,23,83,40,076.00",12-10-1996
000651.SZ,"6,01,57,30,878.00",11/18/1996
000652.SZ,"1,47,55,73,852.00",11/28/1996
000655.SZ,"59,53,40,230.00",11/28/1996
000656.SZ,"4,13,56,20,153.00",11/28/1996
000657.SZ,"62,86,54,664.00",12-05-1996
000659.SZ,"1,28,57,02,520.00",12-03-1996
000661.SZ,"13,13,26,570.00",12/18/1996
000662.SZ,"28,79,89,200.00",12/16/1996
000663.SZ,"30,91,42,405.00",12-06-1996
000665.SZ,"63,62,17,448.00",12-10-1996
000666.SZ,"70,41,30,000.00",12-10-1996
000667.SZ,"2,55,95,92,332.00",12-05-1996
000668.SZ,"14,68,41,890.00",12-10-1996
